Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,AN,avg_elo
 Bullet ,cemilchess,gnejs,1-0,2016.07.01,10:50:15,2687,2687,11.0,-11.0,B94,Sicilian Defense: Najdorf Variation,60+0,Normal,1. e4 c5 2. Nf3 d6 3. Nc3 a6 4. d4 cxd4 5. Nxd4 Nf6 6. Bg5 Nbd7 7. Bc4 Qc7 8. Bb3 e6 9. O-O Nc5 10. Bxf6 gxf6 11. f4 h5 12. Kh1 b5 13. f5 b4 14. Na4 e5 15. Ne2 Nxe4 16. Bd5 Bb7 17. c3 h4 18. cxb4 h3 19. Rc1 hxg2+ 20. Kxg2 Qb8 21. Qd3 Ng5 22. Ng3 Be7 23. a3 Kf8 24. h4 Rxh4 25. Rh1 Rxh1 26. Rxh1 Kg7 27. Ne4 Qc8 28. Nxg5 fxg5 29. f6+ Kf8 30. Rh8# 1-0,2687.0
 Bullet tournament ,Blitzstream-twitch,BahadirOzen,0-1,2016.07.01,16:00:02,2560,3001,-2.0,3.0,A40,Modern Defense,60+0,Normal,1. d4 { [%eval 0.11] } 1... g6?! { [%eval 0.67] } 2. Bf4 { [%eval 0.28] } 2... Bg7 { [%eval 0.27] } 3. c3 { [%eval 0.22] } 3... d6 { [%eval 0.25] } 4. Qd2?! { [%eval -0.25] } 4... Nd7 { [%eval -0.15] } 5. h4?! { [%eval -0.68] } 5... e5 { [%eval -0.74] } 6. h5? { [%eval -2.9] } 6... exf4 { [%eval -2.9] } 7. hxg6 { [%eval -2.89] } 7... hxg6 { [%eval -2.87] } 8. Rxh8 { [%eval -2.85] } 8... Bxh8 { [%eval -2.93] } 9. Qxf4 { [%eval -2.95] } 9... Bg7 { [%eval -2.94] } 10. Nf3 { [%eval -3.07] } 10... Qe7 { [%eval -2.75] } 11. Nbd2 { [%eval -3.18] } 11... Ngf6 { [%eval -2.86] } 12. Nc4?! { [%eval -3.44] } 12... b6 { [%eval -2.98] } 13. Ne3?! { [%eval -3.62] } 13... Bb7 { [%eval -3.76] } 14. Ng5? { [%eval -5.07] } 14... O-O-O?! { [%eval -4.57] } 15. g3? { [%eval -5.98] } 15... Re8? { [%eval -4.38] } 16. Bh3?! { [%eval -5.19] } 16... Kb8 { [%eval -5.02] } 17. O-O-O? { [%eval -6.69] } 17... Nh5? { [%eval -3.74] } 18. Qh4?? { [%eval -6.9] } 18... Bf6 { [%eval -6.63] } 19. f4?? { [%eval -10.01] } 19... Qxe3+ { [%eval -9.91] } 20. Kb1 { [%eval -9.83] } 20... Qxe2?! { [%eval -9.26] } 21. Rc1? { [%eval #-10] } 21... Qd3+ { [%eval #-9] } 22. Ka1 { [%eval #-9] } 22... Qd2 { [%eval #-8] } 23. Rb1 { [%eval #-11] } 23... Re1 { [%eval #-11] } 24. g4 { [%eval #-2] } 24... Rxb1+ { [%eval #-1] } 0-1,2780.5
 Blitz ,Blitzstream-twitch,saian00,1-0,2016.07.01,18:53:12,2607,2698,14.0,-15.0,D02,Queen's Pawn Game: London System,180+0,Normal,1. d4 { [%eval 0.19] } 1... d5 { [%eval 0.19] } 2. Nf3 { [%eval 0.17] } 2... Nf6 { [%eval 0.2] } 3. Bf4 { [%eval 0.15] } 3... g6 { [%eval 0.28] } 4. e3 { [%eval 0.38] } 4... Bg7 { [%eval 0.37] } 5. c4 { [%eval 0.34] } 5... O-O { [%eval 0.06] } 6. Be2 { [%eval 0.1] } 6... c6 { [%eval 0.29] } 7. O-O { [%eval 0.35] } 7... Nbd7 { [%eval 0.55] } 8. Nc3 { [%eval 0.09] } 8... Nb6?! { [%eval 0.59] } 9. c5 { [%eval 0.75] } 9... Nbd7 { [%eval 0.81] } 10. b4?! { [%eval 0.21] } 10... Nh5 { [%eval 0.19] } 11. Bg5 { [%eval 0.01] } 11... h6 { [%eval -0.01] } 12. Bh4 { [%eval -0.01] } 12... g5 { [%eval -0.01] } 13. Bg3 { [%eval -0.03] } 13... Nxg3 { [%eval -0.1] } 14. hxg3 { [%eval 0.04] } 14... e5 { [%eval 0.04] } 15. b5?! { [%eval -0.71] } 15... e4 { [%eval -0.65] } 16. Nd2 { [%eval -0.66] } 16... Re8?! { [%eval 0.1] } 17. Rc1 { [%eval 0.12] } 17... Nf6 { [%eval 0.1] } 18. Qa4 { [%eval 0.12] } 18... Qc7 { [%eval 0.21] } 19. Nb3 { [%eval -0.05] } 19... a5 { [%eval -0.13] } 20. bxa6 { [%eval -0.27] } 20... Bg4 { [%eval -0.25] } 21. Bxg4 { [%eval -0.63] } 21... Nxg4 { [%eval -0.69] } 22. a7 { [%eval -0.57] } 22... h5 { [%eval -0.44] } 23. Qa5 { [%eval -0.76] } 23... Qxa5 { [%eval -0.74] } 24. Nxa5 { [%eval -0.74] } 24... Rxa7 { [%eval -0.62] } 25. Nb3 { [%eval -0.65] } 25... h4 { [%eval -0.58] } 26. gxh4 { [%eval -0.62] } 26... gxh4 { [%eval -0.52] } 27. Rb1 { [%eval -0.67] } 27... Re6 { [%eval -0.7] } 28. Ne2 { [%eval -1.06] } 28... f5?! { [%eval -0.35] } 29. Rb2 { [%eval -0.31] } 29... Bh6 { [%eval -0.41] } 30. Nf4?! { [%eval -1.0] } 30... Bxf4 { [%eval -1.31] } 31. exf4 { [%eval -1.06] } 31... Ra5?? { [%eval 7.86] } 32. Re1?? { [%eval -0.94] } 1-0,2652.5
 Blitz ,saian00,Blitzstream-twitch,1-0,2016.07.01,18:56:57,2683,2621,10.0,-9.0,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",180+0,Normal,1. d4 { [%eval 0.2] } 1... d5 { [%eval 0.22] } 2. Nf3 { [%eval 0.22] } 2... Nf6 { [%eval 0.15] } 3. g3 { [%eval -0.09] } 3... Bf5 { [%eval 0.11] } 4. Bg2 { [%eval 0.01] } 4... e6 { [%eval 0.1] } 5. O-O { [%eval 0.13] } 5... b5?! { [%eval 0.65] } 6. h4?! { [%eval 0.0] } 6... Be7 { [%eval 0.12] } 7. Ne5 { [%eval 0.03] } 7... O-O { [%eval 0.15] } 8. Bf4 { [%eval 0.08] } 8... c6 { [%eval 0.52] } 9. b3?! { [%eval -0.08] } 9... Qb6 { [%eval 0.27] } 10. e3 { [%eval 0.22] } 10... Ne4 { [%eval 0.43] } 11. g4 { [%eval 0.45] } 11... f6 { [%eval 0.52] } 12. Nd3 { [%eval 0.49] } 12... Bg6 { [%eval 0.39] } 13. h5 { [%eval 0.37] } 13... Bf7 { [%eval 0.36] } 14. a4 { [%eval 0.35] } 14... b4 { [%eval 0.39] } 15. c4 { [%eval 0.34] } 15... bxc3 { [%eval 0.34] } 16. f3 { [%eval 0.31] } 16... Nd6 { [%eval 0.44] } 17. Nxc3 { [%eval 0.02] } 17... Nd7 { [%eval 0.34] } 18. a5 { [%eval 0.37] } 18... Qd8 { [%eval 0.48] } 19. Qe2 { [%eval 0.32] } 19... Rc8 { [%eval 0.35] } 20. e4?! { [%eval -0.29] } 20... dxe4 { [%eval -0.2] } 21. fxe4 { [%eval -0.63] } 21... Nb5?! { [%eval 0.26] } 22. Nxb5 { [%eval 0.22] } 22... cxb5 { [%eval 0.22] } 23. Be3 { [%eval 0.61] } 23... Rc3 { [%eval 0.49] } 24. b4 { [%eval 0.33] } 24... Qc8?! { [%eval 0.91] } 25. Rac1 { [%eval 0.87] } 25... Qc4 { [%eval 1.27] } 26. Rxc3 { [%eval 1.23] } 26... Qxc3 { [%eval 1.55] } 27. Rc1 { [%eval 1.59] } 27... Qa3 { [%eval 1.43] } 28. Rc7 { [%eval 1.5] } 28... Be8?! { [%eval 2.37] } 29. Rxa7 { [%eval 2.23] } 29... Bxb4 { [%eval 2.38] } 30. Nxb4 { [%eval 2.28] } 30... Qxb4 { [%eval 2.2] } 31. h6 { [%eval 2.02] } 31... g6?! { [%eval 2.7] } 32. a6 { [%eval 2.75] } 32... f5? { [%eval 5.26] } 33. gxf5 { [%eval 5.05] } 33... exf5 { [%eval 5.29] } 34. e5 { [%eval 4.82] } 34... f4?! { [%eval 5.48] } 35. Bf2 { [%eval 4.91] } 35... Qb1+? { [%eval 7.29] } 36. Kh2?? { [%eval 4.29] } 36... Qf5? { [%eval 6.65] } 37. Qf3 { [%eval 5.94] } 37... g5? { [%eval 8.56] } 38. Bh3 { [%eval 8.05] } 38... Qc2? { [%eval 10.53] } 39. Be6+? { [%eval 7.77] } 39... Kh8 { [%eval 7.29] } 40. Bxd7 { [%eval 6.17] } 40... Bh5?? { [%eval #11] } 41. Ra8 { [%eval #11] } 41... Kg8 { [%eval #6] } 42. Qd5+ { [%eval #5] } 42... Bf7 { [%eval #5] } 43. Rxf8+ { [%eval #4] } 43... Kxf8 { [%eval #4] } 44. Qd6+ { [%eval #3] } 44... Kg8 { [%eval #3] } 45. Qb8+ { [%eval #2] } 45... Be8 { [%eval #1] } 46. Qxe8# 1-0,2652.0
 Blitz ,Blitzstream-twitch,saian00,1-0,2016.07.01,19:02:12,2612,2693,14.0,-15.0,D02,Queen's Pawn Game: London System,180+0,Normal,1. d4 { [%eval 0.23] } 1... d5 { [%eval 0.25] } 2. Nf3 { [%eval 0.08] } 2... Nf6 { [%eval 0.16] } 3. Bf4 { [%eval 0.1] } 3... Bf5 { [%eval 0.08] } 4. e3 { [%eval 0.12] } 4... e6 { [%eval 0.06] } 5. Be2 { [%eval 0.02] } 5... Bd6 { [%eval 0.04] } 6. Bg3 { [%eval -0.12] } 6... h5 { [%eval 0.1] } 7. O-O { [%eval 0.03] } 7... Bxg3 { [%eval 0.02] } 8. hxg3 { [%eval 0.07] } 8... Qd6 { [%eval 0.12] } 9. c4 { [%eval 0.12] } 9... Nbd7 { [%eval 0.12] } 10. Nc3 { [%eval 0.07] } 10... c6 { [%eval 0.13] } 11. Rc1 { [%eval 0.11] } 11... Ke7 { [%eval 0.27] } 12. Qb3 { [%eval 0.15] } 12... Rab8 { [%eval 0.16] } 13. Qa4 { [%eval 0.24] } 13... dxc4 { [%eval 0.29] } 14. Qxc4 { [%eval 0.22] } 14... b5 { [%eval 0.37] } 15. Qb3 { [%eval 0.48] } 15... a5 { [%eval 0.45] } 16. a3 { [%eval 0.34] } 16... a4 { [%eval 0.38] } 17. Qa2 { [%eval 0.2] } 17... Nd5 { [%eval 0.4] } 18. Nxd5+ { [%eval 0.0] } 18... exd5 { [%eval 0.0] } 19. Rc3 { [%eval -0.06] } 19... Rh7?! { [%eval 0.84] } 20. Rfc1 { [%eval 0.61] } 20... Rb6 { [%eval 0.71] } 21. b4 { [%eval 0.32] } 21... axb3 { [%eval 0.73] } 22. Qxb3 { [%eval 0.73] } 22... f6? { [%eval 1.87] } 23. Nh4 { [%eval 2.23] } 23... Be6 { [%eval 2.11] } 24. Ng6+ { [%eval 2.14] } 24... Kf7 { [%eval 2.17] } 25. Nf4 { [%eval 2.03] } 25... g5?! { [%eval 2.62] } 26. Bd3? { [%eval 1.48] } 26... Rh6?! { [%eval 2.25] } 27. Nxe6 { [%eval 2.17] } 27... Kxe6? { [%eval 3.31] } 28. e4 { [%eval 3.11] } 28... Kf7 { [%eval 3.14] } 29. exd5 { [%eval 2.54] } 29... Qxd5 { [%eval 2.64] } 30. Qxd5+ { [%eval 2.6] } 30... cxd5 { [%eval 2.58] } 31. Rc7 { [%eval 2.43] } 31... Ke6 { [%eval 2.38] } 32. R1c6+ { [%eval 2.36] } 32... Rxc6 { [%eval 2.42] } 33. Rxc6+ { [%eval 2.34] } 33... Ke7 { [%eval 2.32] } 34. Bxb5 { [%eval 2.21] } 34... Rh8? { [%eval 3.82] } 35. Rc7 { [%eval 3.82] } 35... Rd8 { [%eval 3.68] } 36. Kf1 { [%eval 3.35] } 36... Kd6? { [%eval 4.37] } 37. Rc6+?! { [%eval 3.41] } 37... Ke7 { [%eval 3.36] } 38. Rc7 { [%eval 3.11] } 38... Kd6? { [%eval 4.91] } 39. Rxd7+ { [%eval 4.84] } 39... Rxd7 { [%eval 4.7] } 40. Bxd7 { [%eval 4.52] } 40... Kxd7 { [%eval 4.27] } 41. Ke2 { [%eval 4.12] } 41... Kd6 { [%eval 3.71] } 42. Kd3 { [%eval 2.94] } 1-0,2652.5
 Blitz ,saian00,Blitzstream-twitch,1-0,2016.07.01,19:06:38,2678,2626,11.0,-9.0,B01,"Scandinavian Defense: Main Line, Mieses Variation",180+0,Normal,1. e4 { [%eval 0.25] } 1... d5 { [%eval 0.64] } 2. exd5 { [%eval 0.5] } 2... Qxd5 { [%eval 0.58] } 3. Nc3 { [%eval 0.55] } 3... Qa5 { [%eval 0.61] } 4. d4 { [%eval 0.49] } 4... Nf6 { [%eval 0.63] } 5. Nf3 { [%eval 0.75] } 5... Nc6 { [%eval 0.6] } 6. Bb5 { [%eval 0.6] } 6... Ne4 { [%eval 0.6] } 7. Qd3 { [%eval 0.54] } 7... Nxc3 { [%eval 0.54] } 8. bxc3 { [%eval 0.54] } 8... Bd7 { [%eval 0.75] } 9. d5 { [%eval 0.69] } 9... Ne5 { [%eval 0.69] } 10. Bxd7+ { [%eval 0.67] } 10... Nxd7 { [%eval 0.65] } 11. O-O { [%eval 0.62] } 11... g6 { [%eval 0.61] } 12. Bd2 { [%eval 0.54] } 12... Bg7 { [%eval 0.6] } 13. c4 { [%eval 0.54] } 13... Qa6 { [%eval 0.7] } 14. Rae1 { [%eval 0.64] } 14... Bf6 { [%eval 0.72] } 15. Bb4 { [%eval 0.76] } 15... c5 { [%eval 0.77] } 16. dxc6 { [%eval 0.51] } 16... Qxc6 { [%eval 0.52] } 17. Re3 { [%eval 0.34] } 17... O-O { [%eval 0.7] } 18. Rfe1?! { [%eval 0.03] } 18... e6?! { [%eval 0.86] } 19. Bxf8 { [%eval 0.75] } 19... Rxf8 { [%eval 0.77] } 20. Qb3 { [%eval 0.68] } 20... Nc5 { [%eval 0.73] } 21. Qa3 { [%eval 0.83] } 21... a6 { [%eval 0.81] } 22. Qb4 { [%eval 0.84] } 22... Rc8 { [%eval 0.92] } 23. Ne5 { [%eval 0.73] } 23... Qc7 { [%eval 0.71] } 24. f4 { [%eval 0.39] } 24... Be7 { [%eval 0.73] } 25. Qd2 { [%eval 0.73] } 25... Na4 { [%eval 0.74] } 26. Kh1 { [%eval 0.77] } 26... Nb6 { [%eval 0.76] } 27. Rb3 { [%eval 0.79] } 27... a5? { [%eval 2.79] } 28. Qxa5 { [%eval 2.84] } 28... Nxc4 { [%eval 2.84] } 29. Qxc7 { [%eval 2.95] } 29... Rxc7 { [%eval 2.81] } 30. Nxc4 { [%eval 2.34] } 30... Rxc4 { [%eval 2.66] } 31. Rxb7 { [%eval 2.6] } 31... Bd6? { [%eval 3.77] } 32. g3 { [%eval 3.68] } 32... Rxc2 { [%eval 3.66] } 33. Rd1 { [%eval 3.56] } 33... Bc5?! { [%eval 4.38] } 34. Rdd7 { [%eval 4.47] } 34... Rxa2 { [%eval 4.31] } 35. Rxf7 { [%eval 4.19] } 35... Bd4?? { [%eval 7.97] } 36. Rfd7 { [%eval 7.82] } 36... Bc5 { [%eval 7.72] } 37. Rg7+ { [%eval 7.46] } 37... Kf8? { [%eval 9.23] } 38. Rgc7 { [%eval 8.95] } 38... Ra1+ { [%eval 8.81] } 39. Kg2 { [%eval 8.34] } 39... Rg1+? { [%eval 46.41] } 1-0,2652.0
 Bullet ,AstanehChess,BahadirOzen,1-0,2016.07.01,22:25:10,2543,3009,25.0,-35.0,B06,Modern Defense: Two Knights Variation,30+0,Normal,1. e4 { [%eval 0.27] } 1... d6 { [%eval 0.33] } 2. Nc3 { [%eval 0.25] } 2... g6 { [%eval 0.62] } 3. d4 { [%eval 0.67] } 3... Bg7 { [%eval 0.67] } 4. Nf3 { [%eval 0.6] } 4... c5?! { [%eval 1.43] } 5. Bc4? { [%eval 0.16] } 5... cxd4 { [%eval 0.23] } 6. Nxd4 { [%eval 0.18] } 6... Nf6 { [%eval 0.25] } 7. Bb3 { [%eval 0.09] } 7... O-O { [%eval 0.09] } 8. O-O { [%eval 0.14] } 8... Nc6 { [%eval 0.11] } 9. Nxc6 { [%eval 0.1] } 9... bxc6 { [%eval 0.04] } 10. Re1 { [%eval 0.07] } 10... Rb8 { [%eval 0.07] } 11. Qe2 { [%eval 0.0] } 11... Nd7 { [%eval 0.0] } 12. Bg5 { [%eval -0.02] } 12... h6 { [%eval 0.1] } 13. Bh4 { [%eval -0.1] } 13... g5 { [%eval 0.0] } 14. Bg3 { [%eval 0.03] } 14... Ne5 { [%eval 0.09] } 15. h4 { [%eval 0.27] } 15... Ng6 { [%eval 0.35] } 16. hxg5 { [%eval 0.62] } 16... hxg5 { [%eval 0.49] } 17. Rad1 { [%eval 0.49] } 17... Nf4 { [%eval 0.81] } 18. Bxf4 { [%eval 0.53] } 18... gxf4 { [%eval 0.44] } 19. e5 { [%eval 0.46] } 19... d5 { [%eval 0.47] } 20. Qh5 { [%eval 0.4] } 20... e6? { [%eval 1.49] } 21. Ne4 { [%eval 1.48] } 21... dxe4?? { [%eval 5.77] } 22. Rxd8 { [%eval 5.52] } 22... Rxd8 { [%eval 5.61] } 23. Qg5? { [%eval 4.1] } 23... Ba6? { [%eval 5.51] } 24. Rxe4 { [%eval 5.36] } 24... c5?! { [%eval 5.86] } 25. Rxf4 { [%eval 5.74] } 25... Kf8?? { [%eval #8] } 26. Bxe6?! { [%eval 11.49] } 26... Rb7?! { [%eval #1] } 27. Qxd8# 1-0,2776.0
 Bullet ,AstanehChess,BahadirOzen,1-0,2016.07.01,22:26:47,2565,2977,25.0,-34.0,A04,Zukertort Opening: Sicilian Invitation,30+0,Normal,1. Nf3 { [%eval 0.19] } 1... c5 { [%eval 0.29] } 2. g3 { [%eval -0.16] } 2... Nc6 { [%eval 0.06] } 3. Bg2 { [%eval 0.03] } 3... g6 { [%eval 0.03] } 4. O-O { [%eval 0.08] } 4... Bg7 { [%eval 0.02] } 5. c3 { [%eval 0.13] } 5... d5 { [%eval 0.09] } 6. d4 { [%eval 0.13] } 6... cxd4 { [%eval 0.13] } 7. cxd4 { [%eval 0.15] } 7... Nf6 { [%eval 0.08] } 8. Nc3 { [%eval 0.05] } 8... O-O { [%eval 0.18] } 9. Bg5 { [%eval -0.16] } 9... Bg4 { [%eval 0.21] } 10. e3? { [%eval -1.51] } 10... Bxf3? { [%eval 0.32] } 11. Bxf3 { [%eval 0.35] } 11... e6 { [%eval 0.34] } 12. e4?! { [%eval -0.46] } 12... dxe4 { [%eval -0.34] } 13. Nxe4 { [%eval -0.25] } 13... Re8 { [%eval 0.15] } 14. Bg2 { [%eval 0.18] } 14... Qxd4?? { [%eval 4.29] } 15. Qxd4 { [%eval 4.14] } 15... Nxd4 { [%eval 4.31] } 16. Nxf6+ { [%eval 4.29] } 16... Bxf6 { [%eval 4.26] } 17. Bxf6 { [%eval 4.13] } 17... Ne2+?! { [%eval 4.72] } 18. Kh1 { [%eval 4.63] } 18... b6?? { [%eval 9.09] } 19. Rfe1? { [%eval 7.47] } 1-0,2771.0
 Blitz ,hiimgosu,italian5,1-0,2016.07.02,01:09:05,2814,2509,6.0,-3.0,E38,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",180+0,Normal,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 c5 5. dxc5 Bxc5 6. Bf4 b6 7. Nf3 Bb7 8. Rd1 O-O 9. e4 Nc6 10. Be2 d6 11. e5 Ng4 12. O-O Qb8 13. Ng5 1-0,2661.5
 Blitz ,hiimgosu,italian5,1-0,2016.07.02,01:17:56,2825,2503,6.0,-3.0,E32,Nimzo-Indian Defense: Classical Variation,180+0,Normal,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 O-O 5. Nf3 c5 6. dxc5 Na6 7. g3 Nxc5 8. Bg2 b6 9. O-O Bb7 10. Bf4 Nce4 11. Nxe4 Bxe4 12. Qa4 Be7 13. Rfd1 Qc8 14. Bd6 Bxd6 15. Rxd6 Qc7 16. Rad1 Rfd8 17. Ne5 Bd5 18. Qa3 Bxg2 19. Kxg2 Ne8 20. Rxd7 Rxd7 21. Rxd7 Qxe5 22. Qf3 1-0,2664.0
