fen,played_move_uci,best_move_uci,best_eval
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,e2e4,33
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c7c5,c7c5,-41
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g1f3,c2c3,39
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d7d6,d7d6,-42
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,b1c3,d2d4,43
rnbqkbnr/pp2pppp/3p4/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,a7a6,e7e5,-28
rnbqkbnr/1p2pppp/p2p4/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,d2d4,d2d4,53
rnbqkbnr/1p2pppp/p2p4/2p5/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4,c5d4,c5d4,-34
rnbqkbnr/1p2pppp/p2p4/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5,f3d4,f3d4,29
rnbqkbnr/1p2pppp/p2p4/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 5,g8f6,g8f6,-32
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 1 6,c1g5,c1g5,31
rnbqkb1r/1p2pppp/p2p1n2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R b KQkq - 2 6,b8d7,e7e6,-33
r1bqkb1r/1p1npppp/p2p1n2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R w KQkq - 3 7,f1c4,f2f4,50
r1bqkb1r/1p1npppp/p2p1n2/6B1/2BNP3/2N5/PPP2PPP/R2QK2R b KQkq - 4 7,d8c7,g7g6,-45
r1b1kb1r/1pqnpppp/p2p1n2/6B1/2BNP3/2N5/PPP2PPP/R2QK2R w KQkq - 5 8,c4b3,c4b3,50
r1b1kb1r/1pqnpppp/p2p1n2/6B1/3NP3/1BN5/PPP2PPP/R2QK2R b KQkq - 6 8,e7e6,g7g6,-65
r1b1kb1r/1pqn1ppp/p2ppn2/6B1/3NP3/1BN5/PPP2PPP/R2QK2R w KQkq - 0 9,e1g1,f2f4,84
r1b1kb1r/1pqn1ppp/p2ppn2/6B1/3NP3/1BN5/PPP2PPP/R2Q1RK1 b kq - 1 9,d7c5,h7h6,-41
r1b1kb1r/1pq2ppp/p2ppn2/2n3B1/3NP3/1BN5/PPP2PPP/R2Q1RK1 w kq - 2 10,g5f6,g5f6,46
r1b1kb1r/1pq2ppp/p2ppB2/2n5/3NP3/1BN5/PPP2PPP/R2Q1RK1 b kq - 0 10,g7f6,g7f6,-51
r1b1kb1r/1pq2p1p/p2ppp2/2n5/3NP3/1BN5/PPP2PPP/R2Q1RK1 w kq - 0 11,f2f4,d1h5,51
r1b1kb1r/1pq2p1p/p2ppp2/2n5/3NPP2/1BN5/PPP3PP/R2Q1RK1 b kq - 0 11,h7h5,h7h5,-56
r1b1kb1r/1pq2p2/p2ppp2/2n4p/3NPP2/1BN5/PPP3PP/R2Q1RK1 w kq - 0 12,g1h1,f4f5,44
r1b1kb1r/1pq2p2/p2ppp2/2n4p/3NPP2/1BN5/PPP3PP/R2Q1R1K b kq - 1 12,b7b5,c8d7,-33
r1b1kb1r/2q2p2/p2ppp2/1pn4p/3NPP2/1BN5/PPP3PP/R2Q1R1K w kq - 0 13,f4f5,f4f5,124
r1b1kb1r/2q2p2/p2ppp2/1pn2P1p/3NP3/1BN5/PPP3PP/R2Q1R1K b kq - 0 13,b5b4,f8g7,-114
r1b1kb1r/2q2p2/p2ppp2/2n2P1p/1p1NP3/1BN5/PPP3PP/R2Q1R1K w kq - 0 14,c3a4,f5e6,146
r1b1kb1r/2q2p2/p2ppp2/2n2P1p/Np1NP3/1B6/PPP3PP/R2Q1R1K b kq - 1 14,e6e5,e6e5,-102
r1b1kb1r/2q2p2/p2p1p2/2n1pP1p/Np1NP3/1B6/PPP3PP/R2Q1R1K w kq - 0 15,d4e2,a4c5,83
r1b1kb1r/2q2p2/p2p1p2/2n1pP1p/Np2P3/1B6/PPP1N1PP/R2Q1R1K b kq - 1 15,c5e4,c5b3,66
r1b1kb1r/2q2p2/p2p1p2/4pP1p/Np2n3/1B6/PPP1N1PP/R2Q1R1K w kq - 0 16,b3d5,b3d5,22
r1b1kb1r/2q2p2/p2p1p2/3BpP1p/Np2n3/8/PPP1N1PP/R2Q1R1K b kq - 1 16,c8b7,c8b7,-4
r3kb1r/1bq2p2/p2p1p2/3BpP1p/Np2n3/8/PPP1N1PP/R2Q1R1K w kq - 2 17,c2c3,d1d3,7
r3kb1r/1bq2p2/p2p1p2/3BpP1p/Np2n3/2P5/PP2N1PP/R2Q1R1K b kq - 0 17,h5h4,f8h6,51
r3kb1r/1bq2p2/p2p1p2/3BpP2/Np2n2p/2P5/PP2N1PP/R2Q1R1K w kq - 0 18,c3b4,c3b4,117
r3kb1r/1bq2p2/p2p1p2/3BpP2/NP2n2p/8/PP2N1PP/R2Q1R1K b kq - 0 18,h4h3,e4g3,-61
r3kb1r/1bq2p2/p2p1p2/3BpP2/NP2n3/7p/PP2N1PP/R2Q1R1K w kq - 0 19,a1c1,a1c1,185
r3kb1r/1bq2p2/p2p1p2/3BpP2/NP2n3/7p/PP2N1PP/2RQ1R1K b kq - 1 19,h3g2,e4c5,-197
r3kb1r/1bq2p2/p2p1p2/3BpP2/NP2n3/8/PP2N1pP/2RQ1R1K w kq - 0 20,h1g2,h1g2,269
r3kb1r/1bq2p2/p2p1p2/3BpP2/NP2n3/8/PP2N1KP/2RQ1R2 b kq - 0 20,c7b8,e4c5,-217
rq2kb1r/1b3p2/p2p1p2/3BpP2/NP2n3/8/PP2N1KP/2RQ1R2 w kq - 1 21,d1d3,c1c4,305
rq2kb1r/1b3p2/p2p1p2/3BpP2/NP2n3/3Q4/PP2N1KP/2R2R2 b kq - 2 21,e4g5,e4g5,-206
