fen,played_move_uci
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c7c5
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g1f3
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d7d6
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,b1c3
rnbqkbnr/pp2pppp/3p4/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,a7a6
rnbqkbnr/1p2pppp/p2p4/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,d2d4
rnbqkbnr/1p2pppp/p2p4/2p5/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4,c5d4
rnbqkbnr/1p2pppp/p2p4/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5,f3d4
rnbqkbnr/1p2pppp/p2p4/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 5,g8f6
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 1 6,c1g5
rnbqkb1r/1p2pppp/p2p1n2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R b KQkq - 2 6,b8d7
r1bqkb1r/1p1npppp/p2p1n2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R w KQkq - 3 7,f1c4
r1bqkb1r/1p1npppp/p2p1n2/6B1/2BNP3/2N5/PPP2PPP/R2QK2R b KQkq - 4 7,d8c7
r1b1kb1r/1pqnpppp/p2p1n2/6B1/2BNP3/2N5/PPP2PPP/R2QK2R w KQkq - 5 8,c4b3
r1b1kb1r/1pqnpppp/p2p1n2/6B1/3NP3/1BN5/PPP2PPP/R2QK2R b KQkq - 6 8,e7e6
r1b1kb1r/1pqn1ppp/p2ppn2/6B1/3NP3/1BN5/PPP2PPP/R2QK2R w KQkq - 0 9,e1g1
r1b1kb1r/1pqn1ppp/p2ppn2/6B1/3NP3/1BN5/PPP2PPP/R2Q1RK1 b kq - 1 9,d7c5
r1b1kb1r/1pq2ppp/p2ppn2/2n3B1/3NP3/1BN5/PPP2PPP/R2Q1RK1 w kq - 2 10,g5f6
r1b1kb1r/1pq2ppp/p2ppB2/2n5/3NP3/1BN5/PPP2PPP/R2Q1RK1 b kq - 0 10,g7f6
r1b1kb1r/1pq2p1p/p2ppp2/2n5/3NP3/1BN5/PPP2PPP/R2Q1RK1 w kq - 0 11,f2f4
r1b1kb1r/1pq2p1p/p2ppp2/2n5/3NPP2/1BN5/PPP3PP/R2Q1RK1 b kq - 0 11,h7h5
r1b1kb1r/1pq2p2/p2ppp2/2n4p/3NPP2/1BN5/PPP3PP/R2Q1RK1 w kq - 0 12,g1h1
